user_id,name,gender,birth_date,email,city,registration_date
1,Nursultan,Female,1987-01-12,nursultan@mail.ru,Павлодар,2025-05-30
2,Bauyrzhan,Male,1990-06-17,bauyrzhan@yahoo.com,Шымкент,2025-06-01
3,Nurzhan,Female,1999-02-12,nurzhan@mail.ru,Караганда,2025-06-08
4,Alua,Female,1971-03-07,alua@yahoo.com,Шымкент,2025-05-30
5,Dana,Male,2004-03-06,dana@mail.ru,Астана,2025-06-04
6,Sanzhar,Female,1988-11-17,sanzhar@mail.ru,Алматы,2025-05-06
7,Sanzhar,Male,2001-11-04,sanzhar@yahoo.com,Кокшетау,2025-06-06
8,Temirlan,Female,1967-06-21,temirlan@mail.ru,Алматы,2025-05-18
9,Aidana,Female,1995-10-25,aidana@mail.ru,Караганда,2025-05-04
10,Madi,Female,2003-01-07,madi@mail.ru,Алматы,2025-06-01
11,Aidana,Male,2000-10-05,aidana@yahoo.com,Шымкент,2025-05-20
12,Alua,Male,1993-07-15,alua@gmail.com,Астана,2025-05-06
13,Sergey,Female,1994-09-16,sergey@yahoo.com,Алматы,2025-06-13
14,Temirlan,Male,1992-10-21,temirlan@yahoo.com,Алматы,2025-06-08
15,Aidana,Female,1969-01-03,aidana91@mail.ru,Жезказган,2025-06-06
16,Diana,Male,2001-09-20,diana@mail.ru,Астана,2025-06-07
17,Aidana,Male,1988-06-04,aidana95@mail.ru,Усть-Каменогорск,2025-06-14
18,Nursultan,Male,2002-02-19,nursultan41@mail.ru,Алматы,2025-05-11
19,Yerzhan,Female,2002-02-09,yerzhan@gmail.com,Алматы,2025-06-15
20,Ivan,Male,2001-01-23,ivan@mail.ru,Тараз,2025-06-08
21,Dana,Male,2003-03-29,dana46@mail.ru,Караганда,2025-06-09
22,Diana,Male,1999-04-21,diana@yahoo.com,Алматы,2025-06-01
23,Zarina,Female,1968-10-11,zarina@mail.ru,Астана,2025-05-18
24,Alikhan,Male,1998-05-21,alikhan@mail.ru,Алматы,2025-06-06
25,Sanzhar,Female,2002-10-30,sanzhar@gmail.com,Актобе,2025-06-09
26,Temirlan,Male,1996-03-15,temirlan25@yahoo.com,Астана,2025-06-11
27,Diana,Male,2003-09-21,diana@gmail.com,Астана,2025-05-05
28,Maria,Female,1979-09-17,maria@gmail.com,Астана,2025-06-01
29,Aidana,Female,1988-05-02,aidana64@mail.ru,Шымкент,2025-05-08
30,Ivan,Male,1968-04-24,ivan@gmail.com,Алматы,2025-06-01
31,Sanzhar,Male,1980-04-30,sanzhar1@yahoo.com,Алматы,2025-05-26
32,Temirlan,Male,1982-07-06,temirlan54@yahoo.com,Алматы,2025-06-13
33,Zarina,Male,1976-12-05,zarina@yahoo.com,Астана,2025-05-06
34,Nurzhan,Female,1978-08-31,nurzhan@yahoo.com,Астана,2025-06-10
35,Nurzhan,Female,1967-04-18,nurzhan11@yahoo.com,Усть-Каменогорск,2025-06-11
36,Aidana,Female,2006-02-18,aidana53@mail.ru,Алматы,2025-05-17
37,Bauyrzhan,Female,2004-09-16,bauyrzhan51@yahoo.com,Атырау,2025-06-18
38,Miras,Female,2004-03-05,miras@yahoo.com,Тараз,2025-06-19
39,Bauyrzhan,Female,1995-07-27,bauyrzhan@gmail.com,Алматы,2025-05-01
40,Bauyrzhan,Male,2004-02-24,bauyrzhan@mail.ru,Шымкент,2025-06-19
41,Aruzat,Female,2006-06-09,aruzat@gmail.com,Алматы,2025-06-09
42,Gulnaz,Female,1988-10-12,gulnaz@gmail.com,Усть-Каменогорск,2025-06-01
